-1.49,0.34,9.60
-1.68,0.26,9.63
-1.07,0.17,9.82
-0.75,-0.08,9.79
-0.96,-0.14,9.83
-1.05,-0.09,9.71
-0.82,0.20,9.71
-0.43,0.39,9.71
-0.38,0.30,9.81
-0.72,0.16,9.87
-1.23,0.06,9.78
-1.40,-0.08,9.71
-1.02,-0.11,9.80
-0.72,-0.14,9.81
-1.02,-0.21,9.83
-0.81,-0.24,9.75
-0.32,-0.14,9.76
-0.14,0.12,9.79
-0.45,0.13,9.77
-0.74,0.15,9.78
-0.89,0.04,9.73
-0.84,0.09,9.82
-0.80,0.36,9.84
-0.94,0.29,9.77
-1.10,0.20,9.69
-0.96,0.24,9.73
-0.98,0.29,9.78
-0.87,0.24,9.81
-0.65,0.23,9.76
-0.68,0.09,9.71
-1.31,0.02,9.71
-1.74,0.01,9.69
-1.39,0.20,9.72
-1.49,0.72,9.55
-1.26,0.58,9.59
-1.70,0.05,9.81
-1.84,-0.07,9.69
-1.22,0.06,9.72
-0.35,0.39,9.88
-0.33,0.34,9.82
-1.06,0.25,9.73
-1.70,0.30,9.64
-2.16,0.06,9.59
-2.06,-0.11,9.55
-1.56,0.14,9.69
-1.25,0.09,9.69
-1.19,-0.12,9.77
-0.85,0.06,9.83
-0.52,0.21,9.87
-1.14,0.13,9.76
-1.36,0.29,9.68
-1.48,0.32,9.64
-1.18,0.41,9.70
-1.05,0.35,9.78
-0.84,0.24,9.84
-0.49,0.31,9.84
-0.54,0.51,9.82
-0.91,0.21,9.78
-1.05,0.08,9.72
-1.01,0.25,9.76
-1.14,-0.05,9.77
-1.07,0.02,9.76
-1.07,0.29,9.91
-1.07,0.36,10.00
-1.13,-0.18,9.80
-0.98,-0.33,9.14
0.07,0.24,7.52
-1.33,0.94,10.98
-2.06,0.55,11.45
-0.95,-0.01,9.22
-1.05,0.01,9.70
-1.14,0.02,9.68
-1.12,0.04,9.73
-1.12,0.07,9.74
-1.11,0.08,9.75
-1.02,0.04,9.80
